y,January,February,March,April,May,June,July,August,September,October,November,December,clade,stat_type
-84.5,,,,,,,,,,,,,domain_Archaea,mean
-84.5,,,,,,,,,,,,,domain_Archaea,sd
-84.5,,,,,,,,,,,,,domain_Bacteria,mean
-84.5,,,,,,,,,,,,,domain_Bacteria,sd
-84.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-84.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-84.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-84.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-84.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-84.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-84.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-84.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-84.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-84.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-84.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-84.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-84.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-84.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-84.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-84.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-84.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-84.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-84.5,,,,,,,,,,,,,phylum_SAR324,mean
-84.5,,,,,,,,,,,,,phylum_SAR324,sd
-84.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-84.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-84.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-84.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-83.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-83.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-83.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-83.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-83.5,,,,,,,,,,,,,class_Bacteroidia,mean
-83.5,,,,,,,,,,,,,class_Bacteroidia,sd
-83.5,,,,,,,,,,,,,class_Chlamydiia,mean
-83.5,,,,,,,,,,,,,class_Chlamydiia,sd
-83.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-83.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-83.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-83.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-83.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-83.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-83.5,,,,,,,,,,,,,class_Marinisomatia,mean
-83.5,,,,,,,,,,,,,class_Marinisomatia,sd
-83.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-83.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-83.5,,,,,,,,,,,,,class_Poseidoniia,mean
-83.5,,,,,,,,,,,,,class_Poseidoniia,sd
-83.5,,,,,,,,,,,,,class_SAR324,mean
-83.5,,,,,,,,,,,,,class_SAR324,sd
-83.5,,,,,,,,,,,,,class_UBA1144,mean
-83.5,,,,,,,,,,,,,class_UBA1144,sd
-83.5,,,,,,,,,,,,,class_UBA4151,mean
-83.5,,,,,,,,,,,,,class_UBA4151,sd
-83.5,,,,,,,,,,,,,class_UBA796,mean
-83.5,,,,,,,,,,,,,class_UBA796,sd
-83.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-83.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-83.5,,,,,,,,,,,,,domain_Archaea,mean
-83.5,,,,,,,,,,,,,domain_Archaea,sd
-83.5,,,,,,,,,,,,,domain_Bacteria,mean
-83.5,,,,,,,,,,,,,domain_Bacteria,sd
-83.5,,,,,,,,,,,,,phylum_Actinomycetota,mean
-83.5,,,,,,,,,,,,,phylum_Actinomycetota,sd
-83.5,,,,,,,,,,,,,phylum_Bacteroidota,mean
-83.5,,,,,,,,,,,,,phylum_Bacteroidota,sd
-83.5,,,,,,,,,,,,,phylum_Chlamydiota,mean
-83.5,,,,,,,,,,,,,phylum_Chlamydiota,sd
-83.5,,,,,,,,,,,,,phylum_Cyanobacteriota,mean
-83.5,,,,,,,,,,,,,phylum_Cyanobacteriota,sd
-83.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,mean
-83.5,,,,,,,,,,,,,phylum_Desulfobacterota_D,sd
-83.5,,,,,,,,,,,,,phylum_Fibrobacterota,mean
-83.5,,,,,,,,,,,,,phylum_Fibrobacterota,sd
-83.5,,,,,,,,,,,,,phylum_Marinisomatota,mean
-83.5,,,,,,,,,,,,,phylum_Marinisomatota,sd
-83.5,,,,,,,,,,,,,phylum_Myxococcota,mean
-83.5,,,,,,,,,,,,,phylum_Myxococcota,sd
-83.5,,,,,,,,,,,,,phylum_Pseudomonadota,mean
-83.5,,,,,,,,,,,,,phylum_Pseudomonadota,sd
-83.5,,,,,,,,,,,,,phylum_SAR324,mean
-83.5,,,,,,,,,,,,,phylum_SAR324,sd
-83.5,,,,,,,,,,,,,phylum_Thermoplasmatota,mean
-83.5,,,,,,,,,,,,,phylum_Thermoplasmatota,sd
-83.5,,,,,,,,,,,,,phylum_Thermoproteota,mean
-83.5,,,,,,,,,,,,,phylum_Thermoproteota,sd
-82.5,,,,,,,,,,,,,class_Acidimicrobiia,mean
-82.5,,,,,,,,,,,,,class_Acidimicrobiia,sd
-82.5,,,,,,,,,,,,,class_Alphaproteobacteria,mean
-82.5,,,,,,,,,,,,,class_Alphaproteobacteria,sd
-82.5,,,,,,,,,,,,,class_Bacteroidia,mean
-82.5,,,,,,,,,,,,,class_Bacteroidia,sd
-82.5,,,,,,,,,,,,,class_Chlamydiia,mean
-82.5,,,,,,,,,,,,,class_Chlamydiia,sd
-82.5,,,,,,,,,,,,,class_Cyanobacteriia,mean
-82.5,,,,,,,,,,,,,class_Cyanobacteriia,sd
-82.5,,,,,,,,,,,,,class_Fibrobacteria,mean
-82.5,,,,,,,,,,,,,class_Fibrobacteria,sd
-82.5,,,,,,,,,,,,,class_Gammaproteobacteria,mean
-82.5,,,,,,,,,,,,,class_Gammaproteobacteria,sd
-82.5,,,,,,,,,,,,,class_Marinisomatia,mean
-82.5,,,,,,,,,,,,,class_Marinisomatia,sd
-82.5,,,,,,,,,,,,,class_Nitrososphaeria,mean
-82.5,,,,,,,,,,,,,class_Nitrososphaeria,sd
-82.5,,,,,,,,,,,,,class_Poseidoniia,mean
-82.5,,,,,,,,,,,,,class_Poseidoniia,sd
-82.5,,,,,,,,,,,,,class_SAR324,mean
-82.5,,,,,,,,,,,,,class_SAR324,sd
-82.5,,,,,,,,,,,,,class_UBA1144,mean
-82.5,,,,,,,,,,,,,class_UBA1144,sd
-82.5,,,,,,,,,,,,,class_UBA4151,mean
-82.5,,,,,,,,,,,,,class_UBA4151,sd
-82.5,,,,,,,,,,,,,class_UBA796,mean
-82.5,,,,,,,,,,,,,class_UBA796,sd
-82.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,mean
-82.5,,,,,,,,,,,,,class_XYA12-FULL-58-9,sd
-82.5,,,,,,,,,,,,,domain_Archaea,mean
