y,stat_type,class_Acidimicrobiia,class_Alphaproteobacteria,class_Bacteroidia,class_Chlamydiia,class_Cyanobacteriia,class_Fibrobacteria,class_Gammaproteobacteria,class_Marinisomatia,class_Nitrososphaeria,class_Poseidoniia,class_SAR324,class_UBA1144,class_UBA4151,class_UBA796,class_XYA12-FULL-58-9,domain_Archaea,domain_Bacteria,phylum_Actinomycetota,phylum_Bacteroidota,phylum_Chlamydiota,phylum_Cyanobacteriota,phylum_Desulfobacterota_D,phylum_Fibrobacterota,phylum_Marinisomatota,phylum_Myxococcota,phylum_Pseudomonadota,phylum_SAR324,phylum_Thermoplasmatota,phylum_Thermoproteota
-57.5,mean,3.85973202577235,143.99487161557,58.5110407151806,0.124323808495007,14.7931592941023,0.167584579637839,66.519669543514,6.80513066641866,2.5764925434666,9.05023121110343,1.12026145752556,0.402313841595783,0.0476466460440545,0.131186078957921,0.0655870721305438,10.2633988283541,261.45550383776,5.61303352966515,58.3963927178462,0.124323808495007,27.1592696665381,0.402313841595781,0.167584579637839,7.0496924771979,0.34208202258591,285.22771450968,1.12026145752556,8.40915757315675,2.56903356932024
-57.5,sd,5.1443403729171,102.394073786375,14.2308375298805,0.0950246981273165,16.1988154654239,0.097498624404304,15.7646489883314,6.54979372482849,2.46464048968493,8.51505598458253,0.846866007864802,0.453630749994156,0.0542755986797107,0.172534894116819,0.0648914147501891,10.2625052129535,124.545781499034,6.24884560951415,14.0404158879164,0.0950246981273165,34.9771661270834,0.453630749994158,0.097498624404304,6.57589410593398,0.418630857510898,154.71259843748,0.846866007864802,8.15905826065477,2.46658741860967
-56.5,mean,4.4751890549956,150.555808687215,58.9835488778834,0.116165792341476,14.4006090288492,0.177672029253741,68.1912084208415,7.49129598204809,2.8741658594197,10.112393203027,1.19319357089701,0.472799667908921,0.0473024485154154,0.140757682792249,0.0674674731780225,11.3831609756385,271.536097801742,6.33068526255544,58.9081927749767,0.116165792341476,27.0428373991947,0.472799667908921,0.177672029253741,7.71062748808132,0.373194735087084,293.73634936645,1.19319357089701,9.52838921945198,2.86853665104454
-56.5,sd,5.43285553805072,103.80145475995,15.1233406457346,0.0888999555655414,15.7592275925861,0.104070713519052,16.5468702963316,6.94102550675448,2.61435869067924,8.8889828539001,0.894195029035555,0.491542611601423,0.0543302708090185,0.175632530477796,0.0674891475142506,10.6936522365647,127.728879528567,6.60586469907293,14.9279152146113,0.0888999555655414,34.9548663558547,0.491542611601423,0.104070713519052,6.94834438835748,0.441242308487389,152.705560301812,0.894195029035555,8.61011669553754,2.61858896940415
-55.5,mean,4.9867560278255,157.233866252985,59.6425870237783,0.109256857020862,14.373061495112,0.187591398707168,70.0170193728591,8.12076365472113,3.12285425156443,11.0072907593583,1.24960224547031,0.533153939735079,0.0470984907514727,0.150186386473107,0.0676784436650414,12.3753599864672,282.225485936698,6.93480923640265,59.6067294552499,0.109256857020862,27.0841550252801,0.533153939735079,0.187591398707168,8.31582133736051,0.400231106149242,301.840496896585,1.24960224547031,10.4878114697978,3.1167345392874
-55.5,sd,5.57362505243608,104.521347171245,15.8580604690519,0.08550544371494,15.6421578774605,0.109054283373366,17.199278375439,7.17405696446153,2.6835864605282,8.98081417725382,0.927448414847509,0.517445633439329,0.0543845042532951,0.180315133697181,0.0694123163976686,10.8168217509447,130.002371705856,6.78752001646411,15.660116096773,0.08550544371494,34.9521058388145,0.517445633439329,0.109054283373366,7.17395737290373,0.454928397888617,150.167468554576,0.927448414847509,8.75813915931767,2.69003956303933
-54.5,mean,5.36670126208657,159.185350410916,59.8705112180645,0.10416837758253,13.9519779052897,0.201567056447686,70.9697256881929,8.61361175368496,3.33538916294838,11.7290948432836,1.28454177352897,0.56773714923289,0.0460929241293959,0.149965126581695,0.0646555933820337,13.1826893125969,285.722209252658,7.38088699978688,59.8809634671139,0.10416837758253,26.7603946222782,0.56773714923289,0.201567056447686,8.78249036989028,0.424325903722018,304.684996042869,1.28454177352897,11.2518233689316,3.32557453705714
-54.5,sd,5.62067538791816,105.325193050491,16.9652271484943,0.0842525633976015,15.4216209380406,0.115532013834856,18.1148965174485,7.43751649603823,2.7526253936691,9.09546195679036,0.968934760899849,0.52889833396609,0.0541486587429333,0.179091152751696,0.0674217082812728,10.9666362081799,133.475673033299,6.91043090356343,16.7497227333217,0.0842525633976015,34.9743039348296,0.52889833396609,0.115532013834856,7.4374285351239,0.464608965151564,150.380803554773,0.968934760899849,8.92308272769638,2.75783259012913
-53.5,mean,5.75985038247964,160.42026042832,60.6963330295871,0.102237633171322,13.6459376042397,0.221948203852542,72.13624504076,9.14886742901059,3.51941807778036,12.5187895453598,1.3128838673131,0.596677305545624,0.0448137454522323,0.157839612841522,0.066060252033313,14.112414336504,289.281943224978,7.92677613739511,60.7664909785666,0.102237633171322,26.4510451764278,0.596677305545624,0.221948203852542,9.2789508484891,0.445692571886289,307.086971408887,1.3128838673131,12.1154811239343,3.50770310728677
-53.5,sd,5.68043820594011,107.037615916192,18.1400641385069,0.0876507327167413,15.2955638708049,0.123113282423079,18.93975005791,7.71336672080516,2.78475730071881,9.19719022943719,1.00225483919427,0.547006351964196,0.0535916133376006,0.190244331742807,0.0683768867933995,11.1612354500218,138.094611243446,7.03337030509663,17.9244862007513,0.0876507327167413,35.011680397969,0.547006351964196,0.123113282423079,7.71452758537638,0.472859427686307,151.332058639711,1.00225483919427,9.09226611417089,2.78851941104661
